order_id,products
8164,27020 13176
8185,15386 34467 18104 22943
8188,21903 49683 30489 24184 45007 33000 13176
8240,12606
8282,31766 28781 21137 47766 34969 48287 44843 35221 1511
8284,49235 6846 36691 13176 16797
8326,None
8363,24964 42265 46260 32828 42585 8927 13176
8418,None
8450,None
8458,None
8514,34823 4138 35951 27272 34137 13176 16768 33198 22959 42442
8608,10265 38944 35364 8230 48679 27715 47209 9839 19057 17027 35461 39557 21137 22677 45210 37538 21174 9421 8912 9955 36070 5876 8436 34044 6402 30489 42265 10558 8022 7515 36724 35221 23959 2979 44471 8174 23025 39928
8795,5194 24669 9208 13166 45681
8865,16528
8876,15424 44267
8887,46023
8989,28934 28553 34325 436 42557 16965 6347 46802 8412
9071,24838 9864 26768 6187 15285 30776 29112 18362 13249 9421 27086 13535 21872 15861 13176 36735
9175,3682 2780 24852 27086
9190,21100 30450
9272,48520 16797 31805 43352 33000 39275 13176
9300,None
9318,None
9356,19008 11712 26209
9391,17330 46822
9427,48776 36005 40153 27966 47977 3020 5077 42460
9446,46667 29801 47209 24964 22935 24489 10749
9503,8277
9526,21137
9564,8193 46979 42244 21903 17948 23079 24489 28849 26298 19006 27966 33352 5450 27086 23375 15950 48595 47325 26209
9824,None
10061,30827 46802 43352 16797
10126,35886 39275 13176
10176,24852
10338,5671 28745
10462,35364 16981 35958 47766 35689 13176 22935 28122
10464,None
10537,None
10583,24852 37349 25199
10600,47766 27845 8277
10620,47209 4210 12481 24852
10772,None
10840,47766 21938 15592
10849,15482 7753 19180
10955,5684 30489 13176
11026,8728 15386 18465 18523 47766 4781 43726 48857 40174 14651 25936 10121 16797 33731 44008 33787
11044,None
11145,12140
11224,28199 28204 5785 19201 7559 39877
11326,27705 20574 25199 21616 29312 10369 13447 47766 6348 26842 21267 24852 30489 36735 16262 1935 24024 46045
11408,24852 30489 5025 21709 26209 14947
11518,32747
11549,6218 24184 17794 21903 22935
11556,5428 26165
11606,37449 21610 10768 14161 25274
11623,12683 49429 2966 43814 31964 6128
11659,None
11664,45613
11697,46149 9387
11749,2078 42579 21616 18224 10070 21903
11849,22825 29244 1364
11888,8736
11943,11644
11974,38809 7029
11987,32478
11992,12341
11994,40199 12606 13634
12054,None
12184,None
12187,47626 46222 49683 12341 16696
12233,47144 26209 21137 23765 24852
12234,24838
12253,21793 49193 16192 40174
12258,42265
12323,24852
12338,16965 7350 21463
12478,6182 38200 13245 22849 31717
12517,None
12553,46979 22556 24024 44632 36969 26620
12571,47626 47144 28823 30696
12662,18465 16987 47209 35951 23165 28289 14992 21137 5785 30391 8414 26369 31504 22825 13176 36746 48015 21903 7084 33731 45007 19934 39928 10749
12745,None
12754,43209 31981 24041
12846,None
12881,36865 3627 28204 47209 8309 43662 23734 23737 10096 13176 44422 24024
12891,None
12894,27288
12938,47766 33572 48523
12948,24852 6046
13003,21526 46616 24195 8424 33055 10749 1364 13176 37766 14778
13024,39877 38622
13040,27845
13085,24852 49235
13128,45066 17706 20697 14947
13132,None
13160,32553 12845 38889 20842 13176
13188,24852 36011 5077 20327
13195,27521 21137 16797
13210,14084 43014 44570 42265 25513 28849 35784 31562 4562 29912 30975
13241,None
13250,21903 38164 47209
13433,None
13441,20899 31100 43643 27845 49610 26364
13471,196
13497,47766
13533,17795 13578 21397 17341 196 40261 13388 7380 44129 16483 29925
13534,21288
13545,649 43693 196
13557,47766 3957
13564,8859
13608,None
13680,19057 13176
13715,516 6686 34026 19348 19863 15820 5077
13733,49235 19057 27845 28985 13176 21903 35221
13747,49247 19049 11512 30480 44987
13787,None
13812,45066 22035 22556 44632 14947 47717 35951 9839 21137 27845 16593 48857 33000 11520 24852 30489 25936 17256 16254 27521 22935 33731 48110
13879,44632 4274 48957
13936,7681 45066 47626 16398 49683 26165 26717 46688 9839 38012 28820 31893 47766 26283 8424 44359 13646 5991 13176 24964 21903 16797 15261 20947 27104
13977,27521 24838 21903 30391 39877 9839 5876
13982,30352 44199 3562
14003,7175 33682 11941 2855 25146 27966 47209 33015
14049,None
14098,40459 23594 26209 16489 26314 33000 3990 1447 21927
14124,13702 432 41290 43772
14232,14788
14346,45066 15902 33894 47209 17008 24239 17600 18659 36070 24852 9547 44948 5077 42460
14369,None
14407,38689 26790 3631 34134 6615 20345
14422,None
14453,36676
14484,None
14616,30776
14697,None
14729,4210 14493 24852
14750,29447 30233 12392 47209
14773,27246
14817,5918 26587 36591
14850,12427 38928 16797 31651 17122 18023 11759 13042 13176
14936,3594
14974,30850 44292 1940 24852 31640 5077 16882
14994,1940
15028,12341
15066,10962
15067,36482 20995 31506 47766 44596 4799 4163 45007 22368
15069,1194 36714 29996
15076,None
15094,14858 18465 47144 19578 5760 31987
15272,11520 13176
15286,45066 37959 37766 26604
15332,None
15345,24852 19348 29609
15375,21288 43352
15390,24852
15393,12427 38928 31651 32455 37710 45051
15400,None
15422,16136
15447,42538 4210 13944 38028 7877 11497 44799 45832 24852 47962 18394
15481,43209
15518,25138 44099 47209 39275 45007
15553,5479 47156 13431
15718,12545 42637 3599 24852 35221 27454 41665 27845 5077 33754 4957 45537 47209
15740,25237 3990 44315 32440 7877 13277 3696
15804,14233
15888,196
15928,23082
15972,3599 22035 48679 13870 27695 30290 11352 47209 9839 43122 23165 651 4799 29388 21709 40706 38689 28476 45374 44359 30024 27509 27521 46979 21903 22935 30117 18362 42445 25072 6651
16148,23909
16160,11520
16169,30776 32331 3661 33894 11878 38562 33065 8580 49544 22920 30117 15325 6128
16225,35782 13176
16258,5428 22220
16287,13176
16295,48183 15290
16323,45066 28278 21137 4799 31433 9934 28934 39180 24852 14150 42828 24964 21903
16467,None
16471,45066
16511,13176
16593,10722 27511
16738,16797
16806,39040 47766 28849 45007 41463
16867,None
16880,None
16983,38028 46990 24852 47766 9666 28156 22622 47209 25837 20345 43772 29310 6655
17039,19660 39275
17044,47766 19660 46820 24964 21903 16797 34786
17051,None
17106,15520 34024
17124,30720 36865 45066 3599 49175 47144 1090 3142 27741 41057 3172 38028 47766 47792 29363 27845 1757 34067 24852 30489 34590 22825 4920 39781 10108 21903 44949 13249 36315 7156
17151,None
17200,7781 47766 40706 30489 42265 13176 21903 32655 17902
17209,None
17250,19348 13176
17279,49235 47209 27845 13176 33731
17396,21137 14633 13176
17474,40706 13829 24852 43961
17575,5785 29594 22240 21616
17751,None
17781,34126 33394 25461
17795,None
17812,22556 44765 24852 21903 35221
17889,43154 6184 21572 10441 3298 35561 45051
18077,27307 3856
18113,40332 47766 3107
18145,30630 47156 40156 26209 4210
18146,28204 24852 16797 10199
18156,18439 25146 14399 14437 36459 22124 2164 41602 39097 29373 17616 24830 30511 27966 33129 16234 13176 10132 2966 10673 24010 459 5077 2519 34300
18213,8277 13176
18221,22035 14880 44632 21137 47766 27845 24852
18258,21137 19660 38689 27966 13176
18278,47209 13176 5514
18294,22035 39527 47209 22124 24852 26914 44910 21903 29594 39877 47059
18349,42265 38453
18362,18811
18367,24852
18383,None
18511,6656 36389 8277 47209 5785 14596 30489 44397 13176 17794 32134 25005 39877 23543 25598
18531,34321 24852 8474 3358 23341 27841 37065 459 31725 4210 29309
18542,34339
18551,39275
18559,43352 40174
18582,11777 10753 31635 2592 24489 43713 8277 15984 13176
18635,21616 44820 38689 16262 33731 31714
18649,21386 22507
18660,5785 36550 13176
18671,44570 44661 15503 47788 27845 41787 11068 13176 45453 26604 21497
18748,47209 13166
18836,42723 22906 17805
18858,24852
18920,35267 31846 42475 34551
18925,16797 11182 5212 13176
18937,None
18964,27521 24838 47626 22035 40723 31263 4920 5450 42585 13176
18967,37377 6046 4562 7641 30696 9076 10613
18996,117 31654 43988
19099,43394 33198 15028 45007
19263,21137 6361 13176 40852 30639
19292,14084 47626 24852
19299,387 41148 17616 41455
19361,17948 24852
19388,24964
19420,22035 39468 21137 8912 24852 29557 42443
19438,21376 24852 5322 34262 20710
19443,47626 30776 24184 45747 43789 24852 12576 13733 41950
19506,19604 34986 31960 13532 10497 18721 20261 25986 48565 29660
19588,47626 16797
19619,None
19719,47209 38033 8859 5876 27966 13176
19727,12341 40120
19759,None
19774,40604 18113 32981 37646 16185 13176 31611 33198 27086 24561
19786,47626 46667 19057 44201 37646 39190 7963 4957 13176 46969 10132
19836,47766
19883,24852 11826 37940 45135
19927,47626 24852 3957 21903
19974,47626
20130,6201 33754 39411 40571
20158,37646 24852 28204 47209
20220,33819 3171 5287 38146 24852 32043 14636 23909 46023 39921
20235,42633 24852 30489 46627 13166
20345,10753 45066 44053 14870 15399 26165 36406 47672 45633 21137 5785 162 37029 7916 42265 41787 4421 5450 25931 36695 43352 13176 27548 16797
20410,40706 28204 32578 49235 5876 13176
20502,26209 18564 20114 1695 44765 19677 26351 41220 29447 24852 28476 27966 365 1463 47059 44008 7673
20504,18465 30795 7413 32553 37687 13176 21903
20524,24852 31509 24703 8859 12068 45296 49139 32115 44799
20525,24852
20750,22598 11362 15469 4210 12916 3703 24184 8859 33957 19218 24852 2327 22308 40777 43409 25495 27554 9124 6606 23505 13783 7644 44528 4091
20765,26133 14947 19051 47766 40174 24852 20824 40332 16797
20797,None
20801,None
20806,26505 19348 24852 7413
20851,24852 24184
20852,12608 196 37241 13643 14252 17912
20872,14740 13755
20894,39251
20898,38558 25837
20975,19511 28454
21043,42265 5785 36011 49235 33787
21103,17122
21109,47209 19348
21121,24852 18523
21129,None
21194,39947 24852
21198,35336 27790 21137 43720 42701 10326 18023
21227,21162 28204 49583 17461 13025 47209
21232,None
21262,44560 28204 24184
21279,26384 24852 8859 9515 3040
21297,16797 12341 13176
21309,24852 17316
21455,11520 4410 24964 5514 35834
21517,49683 34466 14218 21903
21569,21903 49683
21591,39046
21602,None
21611,36929 3682 6268 46226 35495 7388 3396 41950
21628,11422 4472
21882,None
21912,29373
21937,47626 28174 39993 14947 34050 24852
21941,48679 25133 12341 44632 27845 21903 43961 31205
21969,None
21990,22053 43568 35914 7247 16994 5750 24184 34950 21137 30391 17616 42193 25861 24852 39275 8671 30696
22033,47626 43662 20114 47766 35221
22049,None
22058,40604 17704 45763 41806 35547 33381
22124,None
22159,24852 30811
22213,2913 43929
22240,6789 33671 24203 44177 46361 17691 5025 29743 16185 4562 14952 12916 15221 43772
22245,27521
22249,24852 14999 45674
22255,24079 11352 18531 26790 18677 3835 11123 5015 41375
22285,30827
22323,24273 14118
22324,47877 46992 13328 33090 3820 11123 31231
22336,11520 16004 28985 12395
22447,28204 11068 33873 6615 44632
22453,47626 40992 12872 33407 41610 47766 19660 24933 44422 45007 32734 39928
22467,5785 13176
22503,22151 21137 34993 8518 44359 21903 20437 41950
22629,40002 49235 10851 48259 4261 9387 43190 18105 17616 33000 48377 30994 24852 39190 21333 22882 13176 5535 44987 42450 5077 33754 46572 28156
22923,19057 21137 30391 23233 15070 13031 39190 32537 39216 14652 13176 432 21938 27104 7156 23029
22935,24852
22941,44987 8518
22955,5479
23032,1940
23071,24964 47766 38689 4942
23097,43352 13176
23099,26318 44799
23221,5025 47792 26298 26856 35951 31612
23255,5646 46616 47766 210 19678 24852 33647 27509 28601 5564
23270,None
23281,30726 39964 39475 13877 14917 10312 18523 32864 21137 5785 42139 11421 45223 18606 5322 37646 22825 48946 27966 17224 15693 26968 10586 4957 22367 13176 39332 9637 22963 27086 33754 21469 33787
23318,24852 6300 2855 23148 25965
23367,None
23379,20632 28204
23392,20114 26209 4210
23440,47766 12075
23500,None
23528,9292 21243
23541,None
23547,32915 24852 14780
23626,40852 19446 15767
23668,24852
23854,47141 10032
23873,28204 45 44632 35951 24852 5479 21903 9138 47029 43961 18362
23877,42507 32782 21137 39619 29898 28928 8091 23516 23029
23906,260 29447 46620 31915 44359 9839 13176
23910,11266 6184 42803 12341 39657
24131,1504 27521 3397 45448 48988 11707 41950
24153,29487 13176 31717
24185,21137 30489 44201 9444 31231
24212,None
24223,None
24237,21288 43352 35561 39275 30827 8048 13176
24265,None
24333,None
24335,None
24372,47877 34483 9175
24435,None
24444,None
24477,28745 10874 42900
24494,10753 16387 9755 48679 13874 17484 12384 28770 47209 28289 26800 11974 46313 24830 40706 33575 27966 35168 35176 3957 13176 8076 21903 6552 33198 47059 35819 40941 24062
24508,47144 40777 26558
24511,31596
24517,35221 20119 27845 13176
24541,36259 30921 28204
24580,28204 8920 24852 4377 5450 5077
24582,22046
24590,47626 21903 49683 24852 5144 8859 45007
24646,22035 28199 28204 47209 19057 5785 24852 5450 42828 13176 16262 48628
24752,1940 47780 5456 30420 13176
24777,47626
24873,15374 41371 20786
24883,10246 49683 29328 40604 27336 5876 31040 13646 29127
24912,17794 22935 27845 44628
24950,46724
25009,47772 37066 46817 40174 34050 24852 9558 7533 34702 35221 16797 35752 6099
25068,35946 47766 40706 24852 28985 48957 21903
25079,12341 34969 28934 24852 24964 16797 49683 25133 35547 2962 21405 11182 39928 7461 21903 28199 28289 5876 30489 16185 45007
25095,1548 23909 32102 39276
25154,47626 13848 46107 26209 44142 31343 33401 10369 14996 23734 27881 34034 27413 16185 27966 27471 8555 26497 22474
25164,30784 6347 19660
25192,47719 7862 47900
25205,19057 21137
25223,24852 812 20842 7075 4037
25254,None
25388,9358 16797 4920 6359
25411,None
25427,32285 47209 1240 3321 31092 13176 26028 44471 23025
25537,17706 47209 13176
25653,46979 21903 24852 38293 17706 28601 26209
25662,25811
25663,24838 27966
25687,47626 19348 22935 9387 28204 45007 47209
25782,30489 1360
25850,46979 14084 14992 17949 21927 432 4920 25931 35547 7781 47209
26010,None
26180,33198
26185,None
26282,None
26289,23909
26301,24852
26320,24852 19678 5876
26383,49683 1117 48246 41116 13029 44799 24852 34619 40255 27985 9076 17795 41950 26604
26393,9955
26413,37897 27156 48197 43086 42585 25197 21137 8339 13984 26805 9472 43789 18234 26475 46962 13176 22935 13727 34243 47610
26473,None
26483,35503 24852 47766 16797
26511,None
26534,26759 40120 31805 4724 890
26601,None
26626,39369
26674,15872 43394 21903 20632 42265 48679 25138 28985 27845 34126 45007 9808 5456 42193 8277 33768 48745 41065 13176
26697,34050 9839
26705,24852 28985 8277 35946
26707,None
26717,24857 39160
26720,8193 24964 47626 5025 44961 28842 9018 44987 11068 27323 27845 6104 26209 5479 47209
26776,23060 17949 27179 12333 2633 26706 14493 21150 18104 17122 10467 41709 31981 4349 24852 14114 4920 6975 20802 38739 37725 33129 47519 45475 13740 5550 42450 5077 28632 34298 29695
26778,32655 47766 26165
26951,47766 17577
26979,37710
27093,None
27095,45066 47766 31683 14947 22124
27121,39475 33754
27125,33198 44632
27168,24852
27260,4724 23423
27317,24852 5729 19691
27357,21903 13176
27364,None
27370,None
27373,8195 9 45622 35419 43631 25204 21137 17079 17080 20694 40672 5876 46844 27903 28985 41276 30021 44359 36186 13176 4493 39877 4562 31717 37357 8174 47599
27427,47144 48720 14947 47209 32880 5785 22716 45276 30489 27966 14678 13176 18362
27486,15134 37940 35430
27604,47626 26209
27632,40709 24852 23322 40354 43459 47977 3696 39408 4595
27716,None
27738,None
27798,47626 28199
27887,47877 36316 33894 47977 43631
27919,17948 2228 36164 13176 12283
27929,40332 6128
27937,2611 21137 27845 260 30489 14651
27971,12817 31278 6348 27344 46946 46448 19340 18327 16797 5077 36316 30183
27989,15902
28033,33000
28049,24964 16908 21903 22935 5785 47209
28089,24852
28187,21385 5258 21288 31805 37317 43352 22900
28211,3599 20754
28316,49683 24852 10673 44085 24273 44632 1511
28363,1025 47626 48679 47766 26369 22825 13176 21903
28369,44683 21903 12341 30391 41950 8424 13176
28467,47626 22035 27156 47209 21137 30391 11452 27845 40709 10017 40396 32717 27086 45007 10749
28493,30233 34844 27683 35939 35121 5449 21938
28634,47626 8309 39160
28651,8277 44397 13176 42445 27639
28707,24838 47209
28710,None
28715,32655 12395 35951
28763,45954
28767,None
28777,18439 49683 14493 11182 4564 49383 47734
28823,41220 27179 4269 39408
28858,5479
28869,45763 17487
28873,21137 11945 27966 34126 41325
28926,6933 37656 14371 25588
28969,20738 15780
28986,None
28995,46475 41625 47145 32303 12738 36436 8153 4347
29073,None
29096,None
29193,47766 27959 39928 32831 27730
29212,None
29213,45603 32134 24616 30776 45311
29282,44815 11159 27845 19057
29283,28851
29511,21903 432 17461 36923
29593,24852 47438 45531 49141
29600,25146 25340 47362 24852 23909 25588
29615,47626 18765 9825
29648,None
29737,28782 24852 46906 31040 16797
29834,37766 47626 45066 24852 28842 43961 8277 44632 25824 31717 26604 14578 19068
29848,24235 38200
29924,42828 49235 41950
29973,None
29990,42252 26698 16213 4565 31960 3562 38124
29992,21137 38689 13176
30016,None
30052,47626 31766 24852 34969 13660 4605
30090,20114 12630 34407
30151,8803
30163,19348 24852 16797 45437 12099 44765
30202,11777 32655 21137 14870 25513 45494 49509 26604 44397
30213,12341 10326
30223,46881
30284,33120 21195 9076 12341 14715
30307,3957
30315,21137 30391 16083 43858 13176
30525,10768 37646 24852 13176
30542,24852 20794
30604,28289 47766 29871 46802 43768 27521 28553 21903
30787,39947
30796,27845
30811,30720 45066 47144 20015 44628 27235 35951 5764 43772 42768 24852 812 26497 21938 7673 4605
30919,None
30928,7753 43086 47766 28934 26384 22290 10070 13176 24518
30995,11182 43895 27845 17652 13176
30999,13870 27695 45123 49235 329 13176 39409 39928
31010,27179 30808 40598 5808 34487 27832 13500 10970 42736 4347 45862 4920 41808 32085 36186 41306 22890 9076 37247 27020 49610 9175
31052,6184 43352 38768 13176
31192,13944 41116 4770 3260 47842 4895 34160 48496
31360,5769 16283 16797 46129 12341 43352 17122 42224 13176 8571
31367,8192 43279 28571 21019 46650 27086 3682 43772
31381,None
31458,None
31500,5653 25146 131 34047 28427 24852 29487 4947 27086
31639,46979 42265 14947 4605
31650,10369 44560 21137 24852 25767 35503 12477 47209 13431 43772
31731,None
31766,24852 28465 4799
31805,43394 27966
31918,7175 22537
31926,4635 11492
31927,32650
31954,47209 27966
31986,8843 27839
32002,24852 19604 4210
32050,8193 12419 10017 14764 39993 8518 16083 4605
32059,None
32075,40706
32097,21003 24852
32109,43014 47626 45066 45578 3599 22035 30252 8239 39475 47672 1090 44632 42093 35951 14992 162 28849 29370 4799 39619 27845 27344 24799 24852 25890 29987 41787 42828 5456 5479 9076 21903 28597 45535
32136,19057 21137 29447 33037 13176 17794 35221 44008
32139,24852
32180,24852 29615 11983 877 5488
32193,None
32270,22286 46755 42030 30776 28985 9421 17871 19678 47209
32360,None
32373,10337 10358 31504 2397 13176 22935
32394,38533 24852 21872
32403,11520 42244 8859 5539 37807 49235 16609
32407,32655 5785 36165 47209 44910
32452,None
32462,3339 21903 30233 27845 6104 47734 13176
32586,None
32635,30827 22802
32690,22556 40516 47209 9839 24184 30353 30391 41697 46823 23288 8518 16759 22935 38837 27104 38383
32706,46676 10339 38533 11399 36011 22832 27966 48453 4952 49519 36724 39877
32714,None
32728,None
32790,None
32878,None
32883,24964 49683 24852 38293 39877 19660
32954,None
33006,35951 20082 17526 47766 44201 32950 43713 23236 8414 34530 8424 15598 40706 2320 40268 9550 14678 30571 39275 13176 24964 10644 38313 26032 12732 28127 27104
33031,None
33047,None
33087,32553 16185 29509 12916 5110 43903
33115,30622
33118,22400 21903 21653 41387 33071 1112 46683 29801 47231
33135,3599 30233 21543 1158 47766 30391 40706 29447 22281 16142 24852 27966 27999 13166 14702 3952 4472 21903 2966 25513 37335 24561
33154,None
33171,24852 33106 34134
33323,None
33352,28204 13176
33475,3298 37923
33505,40604 38890 24561
33529,24852 47209 19057
33545,49683 34466 2770 19156 30994 4920 29629
33563,30353 43154 34969 3800 4947 4086
33611,9760 25146 48808 8390 46817 38154 14147 43845 4988 13249
33632,47766 37553 38200 26184
33639,12576 9913 4472
33707,43631 19348
33832,28289 5876 24838 20307 10129
33895,40706 24852 39448 8859 4945 7893
33938,10804 12341
33946,None
33951,36011 13176
33969,47141
34042,21709 43255 21872
34061,10248 24852 28204 27966 27086 4957 4210 33787
34078,16415
34168,2086 40001 42123 33433 34584 24857 44477
34218,21137 11520
34233,29447 17949 36410 23879 47209 11512
34362,4605
34416,None
34417,47209 42265 27966 25931 3957
34418,28934 47626 19348 42265 41909 46654 18883 35167
34454,24852 5785
34474,None
34518,7751 30827 38768 13176 5782 16797
34523,11109 35951 13176
34550,21137 36724
34571,44202
34585,47626 44632 44661 34448 24838 35628 4920 41787 14183 33787
34632,13447 39475 24852 21174 34969 20574
34682,37067 35921
34692,None
34696,28413
34707,7177 23614 44156 11422 46817 23296 33548 24852 3389 18805 42372 1940 21949 7131 15343 48626 33791
34815,38768 13176
34817,43298 41131 16683 5422 40028 43892
34826,None
34858,None
34905,21288 17207 16797
35068,None
35125,40706
35202,None
35214,10 24852
35379,21903 19354 46932 37718
35386,None
35417,24852 44949 16797 45007
35447,40706 2562 47626 21009 49683 24852 22935 21938 1203 25533 46913 39121 35547 41950 47209 43768 3583
35524,35163 21938
35600,27323 27356 24852 17191 29640 37849 9199 4605
35632,8571
35635,29447 22035 30489 40604 10926 30391 48056 3896 1090 31343 13176
35668,47626 47630 8239 42585 20114 28842 30391 8424 2295 37646 24852 26497 17794 24964 38293 7628 45007 7156
35746,None
35783,45190 1916
35823,4210
35840,17207 42265
35859,47626 24852 27104 31717 6774
35866,49683 24852 6438 29487
35868,21780 33494
35887,19057 13176
35913,39275 21903 13176
36011,None
36031,47630 18465 35887 12889 35951 19057 17526 37496 37503 18594 46277 8929 48356 19204 37646 20316 21872 9076 13176 45007 42450 41950 33787
36049,None
36152,42768 21137 49683 34969 43295
36274,35951 13176 22935
36320,1463
36340,None
36350,44632 21435
36450,47209 9365 5479 13798
36498,45599 44116 21137 28465 46906 10106 30639
36535,23634 10017 2855 17789 32655
36564,8277 44632 21137 30391 24852
36679,10761 27662 22035 31766 14901 26683 44116 44632 34448 21137 20119 30382 43713 41177 42719 26344 24850 24852 13113 5450 10070 1896 38274 11712 26620
36727,28204 37940 33909 24852 46941 23909 44980
36740,13841 27726 3176 29805 36058 7393 25976 35199 25495 2010
36750,13575 38928 17313 6184 14414 49235 26348 46061 33783 13176 30591
36763,12341 42585 15984 30391 24838 8518 13176 24964
36791,42507 32655 23848 37067 12756 34525
36797,49191
36825,47209 21616 40146 24852 3957
36860,14947 35504 36550
36863,27521 24964 10749
36878,46175 14947 45681
36887,None
36898,19660 15541
36908,31635 47766 34969 41458
36939,None
36966,28199 27360 5077
36971,14467 10539 3627 13874 31678 11712 329 35670 13023 27104 44389 486 31461 3952 13176
36977,None
36983,24838 11143 21903 23576 42536 23288 13646 34126 49235 34262 13176
36998,21137 27966
37040,30635
37143,None
37147,47766 46650 27966 34497
